doc_id,item,category,amount,price,discount
b47b08da,Фартук,Текстиль,5,259.16,74.44
b47b08da,Ножи,Посуда,5,146.37,0.0
b47b08da,Моющее средство для посуды,Бытовая химия,5,322.93,26.58
b47b08da,Антибактериальные салфетки,Бытовая химия,5,471.18,0.0
b47b08da,Моющее средство для посуды,Бытовая химия,5,106.18,0.0
4a421dae,Кружки,Посуда,5,80.34,19.79
aaf5e233,Тостер,Посуда,3,398.51,95.65
aaf5e233,Тканевые мешки для стирки,Текстиль,5,57.15,0.0
966a1f60,Чистящее средство,Бытовая химия,1,367.57,31.29
966a1f60,Средство для мытья окон,Бытовая химия,3,85.39,0.0
966a1f60,Жидкость для чистки,Бытовая химия,3,57.31,16.0
dd876cd0,Жидкость для чистки,Бытовая химия,3,118.28,11.51
dd876cd0,Моющее средство для посуды,Бытовая химия,5,295.83,4.31
dd876cd0,Тканевые мешки для стирки,Текстиль,3,204.82,0.0
dd876cd0,Порошок для стирки,Бытовая химия,5,327.94,0.0
dd876cd0,Губки для посуды,Бытовая химия,5,489.41,129.5
9231c501,Моющее средство для кухни,Бытовая химия,5,266.34,0.0
20014898,Ножи,Посуда,5,128.71,0.0
47bcce4a,Полотенца,Текстиль,5,262.87,0.0
47bcce4a,Жидкость для чистки,Бытовая химия,4,479.53,115.91
47bcce4a,Освежитель воздуха,Бытовая химия,4,196.5,33.78
47bcce4a,Полотенца,Текстиль,3,342.63,92.46
36225382,Подушка,Текстиль,4,258.74,13.47
36225382,Фартук,Текстиль,3,413.63,0.0
652ccc96,Средство для мытья окон,Бытовая химия,4,372.23,4.9
4ce3b72d,Подушка,Текстиль,2,191.55,0.0
4ce3b72d,Освежитель воздуха,Бытовая химия,4,128.3,24.74
4ce3b72d,Фартук,Текстиль,3,58.35,1.87
4ce3b72d,Ножи,Посуда,2,406.51,93.05
afd34643,Кружки,Посуда,1,215.09,40.33
afd34643,Освежитель воздуха,Бытовая химия,2,285.97,67.26
afd34643,Сковорода,Посуда,3,352.55,0.0
2ec45f87,Подушка,Текстиль,5,231.54,57.67
2ec45f87,Жидкость для чистки,Бытовая химия,3,348.62,0.0
2ec45f87,Моющее средство для посуды,Бытовая химия,2,93.9,20.68
2ec45f87,Тканевые мешки для стирки,Текстиль,5,378.16,0.0
2ec45f87,Моющее средство для пола,Бытовая химия,4,137.94,0.0
975214c6,Фартук,Текстиль,1,417.36,46.54
975214c6,Средство для мытья окон,Бытовая химия,2,302.01,0.0
8ec17ede,Чайник,Посуда,5,491.67,0.0
8ec17ede,Салатники,Посуда,2,62.42,0.0
8ec17ede,Моющее средство для пола,Бытовая химия,4,234.73,57.64
8ec17ede,Кружки,Посуда,3,419.65,0.0
8f5dda0a,Одеяло,Текстиль,2,481.93,14.22
8f5dda0a,Освежитель воздуха,Бытовая химия,2,176.7,18.12
8f5dda0a,Ножи,Посуда,5,495.8,0.0
6b414795,Моющее средство для посуды,Бытовая химия,1,441.26,0.0
6b414795,Моющее средство для пола,Бытовая химия,2,244.85,14.01
6b414795,Салатники,Посуда,3,228.14,0.0
6b414795,Средство для мытья окон,Бытовая химия,1,110.64,0.0
6b414795,Моющее средство для пола,Бытовая химия,5,117.2,10.27
1157df8c,Шторы,Текстиль,1,111.15,25.45
258c7a68,Кастрюля,Посуда,2,483.2,0.0
258c7a68,Порошок для стирки,Бытовая химия,3,103.11,0.0
ba6b0e35,Кружки,Посуда,5,68.43,12.24
b6b5b6b1,Моющее средство для посуды,Бытовая химия,4,286.06,31.95
5407fd66,Моющее средство для пола,Бытовая химия,3,142.89,0.0
e7a54e7c,Полотенца,Текстиль,5,239.37,17.67
e7a54e7c,Кружки,Посуда,3,109.44,21.15
70d8c378,Кружки,Посуда,4,317.31,0.0
70d8c378,Моющее средство для кухни,Бытовая химия,2,86.88,0.0
70d8c378,Салатники,Посуда,4,51.2,11.39
aa2152f8,Антибактериальные салфетки,Бытовая химия,4,126.72,0.02
aa2152f8,Тканевые мешки для стирки,Текстиль,2,276.44,22.98
aa2152f8,Салатники,Посуда,1,407.42,0.0
dd00fa4a,Ножи,Посуда,1,177.74,0.0
dd00fa4a,Чистящее средство,Бытовая химия,4,151.75,14.9
dd00fa4a,Порошок для стирки,Бытовая химия,3,460.46,0.0
7b6ea667,Носки,Текстиль,2,392.09,109.05
7b6ea667,Подушка,Текстиль,5,456.34,0.0
